,dato,albedo,balanse,diffus,fd,fluxm,fluxs,global,grmin,irød,jt010,jt100,jt002,jt020,jt005,jt050,lp,lt,ltmax,ltmin,nb,par,rf,sd,sdman,synlig,uv,vh,vhmax,vr
0,1988-01-01 00:00:00,,,,,,,,,,,,,,,,,5.1,5.9,3.0,,,,,,,,,,
1,1988-01-02 00:00:00,,,,,,,,,,,,,,,,,3.7,5.3,1.5,20.2,,,,,,,,,
2,1988-01-03 00:00:00,,,,,,,,,,,,,,,,,1.3,2.1,0.2,,,,,,,,,,
3,1988-01-04 00:00:00,,,,,,,,,,,,,,,,,0.1,0.4,-0.1,,,,,,,,,,
4,1988-01-05 00:00:00,,,,,,,,,,,,,,,,,-0.1,0.6,-0.5,0.0,,,,,,,,,
5,1988-01-06 00:00:00,,,,,,,,,,,,,,,,,-0.5,0.2,-1.4,3.5,,,,,,,,,
6,1988-01-07 00:00:00,,,,,,,,,,,,,,,,,-1.3,0.2,-5.6,0.6,,,,,,,,,
7,1988-01-08 00:00:00,,,,,,,,,,,,,,,,,-6.2,-4.5,-10.7,0.1,,,,,,,,,
8,1988-01-09 00:00:00,,,,,,,,,,,,,,,,,0.5,2.9,-4.9,,,,,,,,,,
9,1988-01-10 00:00:00,,,,,,,,,,,,,,,,,4.2,5.8,1.9,5.5,,,,,,,,,
10,1988-01-11 00:00:00,,,,,,,,,,,,,,,,,1.7,3.6,0.9,,,,,,,,,,
11,1988-01-12 00:00:00,,,,,,,,,,,,,,,,,0.2,4.3,-2.8,2.7,,,,,,,,,
12,1988-01-13 00:00:00,,,,,,,,,,,,,,,,,3.6,4.6,3.0,2.0,,,,,,,,,
13,1988-01-14 00:00:00,,,,,,,,,,,,,,,,,3.2,3.9,2.3,1.5,,,,,,,,,
14,1988-01-15 00:00:00,,,,,,,,,,,,,,,,,3.1,4.3,1.8,4.0,,,,,,,,,
15,1988-01-16 00:00:00,,,,,,,,,,,,,,,,,0.7,1.8,0.0,,,,,,,,,,
16,1988-01-17 00:00:00,,,,,,,,,,,,,,,,,0.4,1.3,0.0,1.5,,,,,,,,,
17,1988-01-18 00:00:00,,,,,,,,,,,,,,,,,1.3,2.4,0.1,,,,,,,,,,
18,1988-01-19 00:00:00,,,,,,,,,,,,,,,,,0.4,3.0,-0.8,7.4,,,,,,,,,
19,1988-01-20 00:00:00,,,,,,,,,,,,,,,,,1.7,2.3,1.0,5.4,,,,,,,,,
20,1988-01-21 00:00:00,,,,,,,,,,,,,,,,,1.9,3.5,0.3,10.0,,,,,,,,,
21,1988-01-22 00:00:00,,,,,,,,,,,,,,,,,2.0,3.5,0.4,9.7,,,,,,,,,
22,1988-01-23 00:00:00,,,,,,,,,,,,,,,,,0.0,0.4,-1.1,,,,,,,,,,
23,1988-01-24 00:00:00,,,,,,,,,,,,,,,,,-1.1,-0.4,-1.7,8.8,,,,,,,,,
24,1988-01-25 00:00:00,,,,,,,,,,,,,,,,,0.0,0.4,-0.7,,,,,,,,,,
